 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  J   
  1.1357  1.0517  0.9690  0.8872  0.8058  0.7246  0.6428  0.5591  0.4733  0.3886
  2.0565  2.0116  1.9693  1.9300  1.8936  1.8592  1.8256  1.7918  1.7576  1.7235
  1.6898  1.6573  1.6272  1.5983  1.5714  1.5111  1.4486  1.3783  1.2998  1.2151
  1.1288  1.0437  0.9606  0.8790  0.7986  0.7189  0.6393  0.5595  0.4778  0.3935
  0.3096
  2.0860  2.0362  1.9887  1.9442  1.9032  1.8656  1.8304  1.7966  1.7631  1.7300
  1.6977  1.6665  1.6365  1.6072  1.5786  1.5138  1.4476  1.3763  1.2979  1.2131
  1.1255  1.0386  0.9539  0.8715  0.7910  0.7120  0.6337  0.5559  0.4777  0.3978
  0.3146
  2.1180  2.0675  2.0168  1.9682  1.9230  1.8813  1.8429  1.8070  1.7726  1.7391
  1.7064  1.6746  1.6444  1.6152  1.5861  1.5186  1.4494  1.3761  1.2975  1.2130
  1.1245  1.0356  0.9488  0.8645  0.7828  0.7033  0.6252  0.5483  0.4719  0.3951
  0.3165
  2.1435  2.0974  2.0482  1.9988  1.9511  1.9061  1.8642  1.8254  1.7887  1.7535
  1.7193  1.6862  1.6542  1.6237  1.5941  1.5237  1.4536  1.3789  1.2999  1.2161
  1.1279  1.0380  0.9490  0.8624  0.7787  0.6977  0.6188  0.5418  0.4662  0.3912
  0.3153
  2.1544  2.1177  2.0746  2.0287  1.9822  1.9362  1.8922  1.8505  1.8110  1.7734
  1.7372  1.7019  1.6678  1.6349  1.6034  1.5292  1.4577  1.3826  1.3032  1.2199
  1.1327  1.0429  0.9528  0.8640  0.7778  0.6945  0.6139  0.5358  0.4598  0.3852
  0.3114
  2.1492  2.1221  2.0889  2.0505  2.0088  1.9656  1.9222  1.8795  1.8382  1.7983
  1.7598  1.7223  1.6857  1.6502  1.6140  1.5351  1.4617  1.3872  1.3074
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  J   
  2.1399  2.0874  2.0308  1.9735  1.9170  1.8637  1.8152  1.7732  1.7395  1.7153
  1.7013  1.6934  1.6892  1.6847  1.6782  1.6468
  2.1608  2.1074  2.0496  1.9901  1.9306  1.8729  1.8190  1.7705  1.7295  1.6974
  1.6750  1.6612  1.6531  1.6463  1.6379  1.6041  1.5515  1.4810  1.3969
  2.1714  2.1217  2.0662  2.0073  1.9471  1.8874  1.8302  1.7772  1.7305  1.6917
  1.6617  1.6411  1.6279  1.6180  1.6075  1.5709  1.5184  1.4508  1.3709  1.2845
  1.1955
  2.1717  2.1303  2.0806  2.0251  1.9666  1.9072  1.8488  1.7933  1.7425  1.6982
  1.6614  1.6331  1.6136  1.5998  1.5870  1.5472  1.4937  1.4274  1.3503  1.2664
  1.1800  1.0929  1.0048
  2.1367  2.1085  2.0778  2.0323  1.9808  1.9251  1.8685  1.8131  1.7607  1.7128
  1.6709  1.6358  1.6088  1.5896  1.5741  1.5308  1.4758  1.4097  1.3341  1.2519
  1.1670  1.0816  0.9960  0.9101  0.8232
  2.0928  2.0716  2.0453  2.0131  1.9741  1.9278  1.8756  1.8243  1.7750  1.7284
  1.6853  1.6465  1.6131  1.5871  1.5674  1.5202  1.4635  1.3969  1.3218  1.2405
  1.1562  1.0717  0.9876  0.9036  0.8195  0.7346
  2.0724  2.0442  2.0162  1.9872  1.9550  1.9182  1.8759  1.8284  1.7797  1.7339
  1.6936  1.6570  1.6229  1.5921  1.5669  1.5144  1.4557  1.3882  1.3130  1.2319
  1.1475  1.0630  0.9794  0.8966  0.8143  0.7320  0.6491  0.5645  0.4783  0.3938
  2.0724  2.0375  2.0032  1.9698  1.9366  1.9023  1.8655  1.8263  1.7853  1.7431
  1.7013  1.6634  1.6302  1.6000  1.5720  1.5127  1.4517  1.3831  1.3075  1.2262
  1.1414  1.0560  0.9720  0.8894  0.8080  0.7273  0.6466  0.5655  0.4830  0.3986
  0.3151
  2.0864  2.0458  2.0057  1.9670  1.9298  1.8938  1.8582  1.8221  1.7850  1.7477
  1.7109  1.6748  1.6402  1.6085  1.5795  1.5149  1.4509  1.3810  1.3050  1.2235
  1.1402  1.0515  0.9662  0.8829  0.8014  0.7213  0.6419  0.5631  0.4839  0.4030
  0.3198
  2.1111  2.0643  2.0197  1.9759  1.9341  1.8947  1.8573  1.8215  1.7861  1.7508
  1.7161  1.6823  1.6499  1.6185  1.5883  1.5204  1.4525  1.3809  1.3041  1.2224
  1.1367  1.0488  0.9617  0.8766  0.7940  0.7134  0.6342  0.5561  0.4786  0.4008
  0.3217
  2.1409  2.0914  2.0438  1.9957  1.9498  1.9064  1.8659  1.8280  1.7921  1.7574
  1.7234  1.6901  1.6580  1.6271  1.5972  1.5271  1.4580  1.3840  1.3064  1.2248
  1.1392  1.0509  0.9621  0.8750  0.7904  0.7085  0.6286  0.5505  0.4738  0.3977
  0.3209
  2.1695  2.1214  2.0725  2.0232  1.9746  1.9279  1.8838  1.8429  1.8047  1.7686
  1.7340  1.7003  1.6675  1.6358  1.6052  1.5330  1.4634  1.3891  1.3103  1.2286
  1.1435  1.0553  0.9657  0.8767  0.7899  0.7058  0.6243  0.5452  0.4681  0.3925
  0.3177
  2.1915  2.1487  2.1027  2.0542  2.0052  1.9570  1.9105  1.8665  1.8252  1.7865
  1.7498  1.7146  1.6804  1.6472  1.6123  1.5381  1.4687  1.3962  1.3158
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  J   
  2.1581  2.1013  2.0444  1.9886  1.9341  1.8824  1.8349  1.7924  1.7617  1.7284
  1.7089  1.6959  1.6860  1.6774  1.6688  1.6370
  2.1829  2.1258  2.0663  2.0064  1.9473  1.8905  1.8371  1.7884  1.7458  1.7111
  1.6852  1.6673  1.6547  1.6443  1.6338  1.5987  1.5491  1.4842  1.4059
  2.2038  2.1484  2.0889  2.0275  1.9660  1.9059  1.8484  1.7948  1.7466  1.7058
  1.6735  1.6499  1.6333  1.6203  1.6078  1.5695  1.5182  1.4546  1.3795  1.2958
  1.2074
  2.2208  2.1691  2.1122  2.0519  1.9902  1.9287  1.8688  1.8116  1.7589  1.7125
  1.6738  1.6437  1.6218  1.6054  1.5908  1.5494  1.4965  1.4327  1.3593  1.2784
  1.1928  1.1054  1.0165
  2.2285  2.1844  2.1325  2.0754  2.0155  1.9544  1.8937  1.8346  1.7788  1.7279
  1.6836  1.6470  1.6188  1.5978  1.5805  1.5359  1.4812  1.4167  1.3439  1.2646
  1.1809  1.0951  1.0087  0.9219  0.8337
  2.1957  2.1738  2.1377  2.0909  2.0365  1.9782  1.9188  1.8598  1.8026  1.7490
