 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = UX   
 -3.6077 -3.3760 -3.1568 -2.9454 -2.7239 -2.1735 -1.6894 -1.2681 -0.9360 -0.7073
 -0.5587 -0.4617 -0.3962 -0.3510 -0.3198 -0.2980 -0.2817 -0.2675 -0.2546 -0.2427
 -0.2303
 -7.3866 -6.7742 -6.2678 -5.8570 -5.4649 -5.0911 -4.7350 -4.3986 -4.0829 -3.7893
 -3.5197 -3.2741 -3.0483 -2.8371 -2.6292 -2.1211 -1.6583 -1.2626 -0.9509 -0.6932
 -0.5391 -0.4255 -0.3584 -0.3146 -0.2858 -0.2675 -0.2562 -0.2480 -0.2420 -0.2379
 -0.2355
 -7.1617 -6.7572 -6.3170 -5.8452 -5.4574 -5.0879 -4.7341 -4.3969 -4.0765 -3.7746
 -3.4928 -3.2334 -2.9961 -2.7784 -2.5720 -2.0900 -1.6485 -1.2668 -0.9478 -0.6975
 -0.5176 -0.3977 -0.3220 -0.2753 -0.2469 -0.2305 -0.2226 -0.2199 -0.2199 -0.2210
 -0.2231
 -7.2023 -6.7852 -6.3421 -5.8764 -5.4892 -5.1213 -4.7707 -4.4346 -4.1130 -3.8067
 -3.5171 -3.2463 -2.9962 -2.7672 -2.5557 -2.0794 -1.6572 -1.2837 -0.9708 -0.7179
 -0.5247 -0.3868 -0.2954 -0.2390 -0.2061 -0.1885 -0.1813 -0.1811 -0.1852 -0.1915
 -0.1982
 -7.3474 -6.8580 -6.4039 -5.9820 -5.5848 -5.2113 -4.8546 -4.4933 -4.1719 -3.8637
 -3.5694 -3.2908 -3.0298 -2.7884 -2.5665 -2.0805 -1.6692 -1.3053 -0.9949 -0.7412
 -0.5414 -0.3901 -0.2821 -0.2109 -0.1680 -0.1449 -0.1355 -0.1351 -0.1408 -0.1505
 -0.1620
 -7.5969 -6.9757 -6.5023 -6.1620 -5.7440 -5.3579 -4.9261 -4.5875 -4.2617 -3.9310
 -3.6347 -3.3514 -3.0830 -2.8315 -2.6044 -2.0933 -1.6845 -1.3316 -1.0201
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = UX   
 -7.8273 -7.9058 -8.0532 -8.0097 -7.7107 -7.3806 -7.2762 -7.3405 -7.3193 -7.0808
 -6.7504 -6.3837 -6.0206 -5.6684 -5.2887 -4.2738
 -7.4207 -7.3045 -7.2576 -7.1539 -6.9628 -6.7677 -6.6610 -6.6134 -6.5205 -6.3231
 -6.0568 -5.7368 -5.3856 -5.0310 -4.6706 -3.7580 -2.8819 -2.1783 -1.6194
 -7.1310 -6.8683 -6.6715 -6.5019 -6.3510 -6.2177 -6.0968 -5.9748 -5.8327 -5.6549
 -5.4289 -5.1476 -4.8181 -4.4726 -4.1328 -3.3121 -2.5461 -1.9203 -1.4524 -1.1249
 -0.9193
 -6.9582 -6.5972 -6.2949 -6.0537 -5.8753 -5.7306 -5.5836 -5.4247 -5.2559 -5.0762
 -4.8667 -4.6161 -4.3181 -3.9932 -3.6753 -2.9361 -2.2659 -1.7079 -1.3036 -1.0222
 -0.8237 -0.6788 -0.5678
 -6.9023 -6.4912 -6.1278 -5.8093 -5.5357 -5.3064 -5.1214 -4.9631 -4.7901 -4.5870
 -4.3702 -4.1423 -3.8856 -3.5928 -3.2981 -2.6300 -2.0413 -1.5411 -1.1729 -0.9199
 -0.7439 -0.6185 -0.5264 -0.4564 -0.3993
 -6.9178 -6.4701 -6.0677 -5.7055 -5.3807 -5.0919 -4.8371 -4.6131 -4.4161 -4.2281
 -4.0163 -3.7815 -3.5433 -3.2868 -3.0162 -2.4033 -1.8766 -1.4219 -1.0754 -0.8392
 -0.6785 -0.5658 -0.4851 -0.4257 -0.3798 -0.3415
 -6.9942 -6.5176 -6.0831 -5.6871 -5.3276 -5.0012 -4.7057 -4.4387 -4.1964 -3.9745
 -3.7655 -3.5526 -3.3266 -3.0900 -2.8356 -2.2546 -1.7701 -1.3492 -1.0126 -0.7791
 -0.6247 -0.5194 -0.4456 -0.3931 -0.3550 -0.3255 -0.3005 -0.2768 -0.2528 -0.2292
 -7.1193 -6.6233 -6.1639 -5.7392 -5.3493 -4.9935 -4.6688 -4.3716 -4.1000 -3.8503
 -3.6185 -3.3994 -3.1857 -2.9738 -2.7448 -2.1788 -1.7135 -1.3162 -0.9840 -0.7419
 -0.5822 -0.4777 -0.4072 -0.3587 -0.3252 -0.3016 -0.2842 -0.2690 -0.2551 -0.2421
 -0.2286
 -7.2854 -6.7737 -6.2969 -5.8510 -5.4355 -5.0528 -4.7017 -4.3799 -4.0843 -3.8127
 -3.5614 -3.3274 -3.1075 -2.8983 -2.6906 -2.1610 -1.6963 -1.3119 -0.9839 -0.7293
 -0.5546 -0.4418 -0.3694 -0.3220 -0.2910 -0.2711 -0.2586 -0.2502 -0.2434 -0.2375
 -0.2341
 -7.4810 -6.9557 -6.4638 -6.0032 -5.5688 -5.1630 -4.7875 -4.4422 -4.1252 -3.8336
 -3.5642 -3.3146 -3.0823 -2.8652 -2.6586 -2.1585 -1.7043 -1.3210 -0.9982 -0.7351
 -0.5430 -0.4145 -0.3332 -0.2829 -0.2521 -0.2342 -0.2250 -0.2213 -0.2204 -0.2207
 -0.2220
 -7.7120 -7.1826 -6.6723 -6.1959 -5.7469 -5.3234 -4.9275 -4.5599 -4.2209 -3.9090
 -3.6214 -3.3554 -3.1086 -2.8796 -2.6652 -2.1701 -1.7298 -1.3458 -1.0240 -0.7577
 -0.5513 -0.4043 -0.3070 -0.2468 -0.2115 -0.1923 -0.1839 -0.1827 -0.1859 -0.1914
 -0.1974
 -7.9806 -7.4305 -6.9091 -6.4152 -5.9499 -5.5135 -5.1024 -4.7164 -4.3571 -4.0245
 -3.7176 -3.4342 -3.1717 -2.9282 -2.7013 -2.1927 -1.7586 -1.3770 -1.0530 -0.7842
 -0.5700 -0.4087 -0.2943 -0.2190 -0.1736 -0.1488 -0.1382 -0.1368 -0.1417 -0.1505
 -0.1615
 -8.2869 -7.6994 -7.1547 -6.6503 -6.1715 -5.7214 -5.2981 -4.8989 -4.5230 -4.1720
 -3.8457 -3.5435 -3.2637 -3.0046 -2.7669 -2.2263 -1.7907 -1.4146 -1.0852
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = UX   
 -7.2831 -7.2643 -7.2640 -7.2573 -7.2278 -7.1876 -7.1343 -7.0559 -6.9367 -6.7584
 -6.5135 -6.2101 -5.8744 -5.5334 -5.2196 -4.3288
 -6.7319 -6.6563 -6.6123 -6.5843 -6.5591 -6.5245 -6.4702 -6.3873 -6.2653 -6.0921
 -5.8591 -5.5663 -5.2319 -4.8915 -4.5689 -3.7602 -2.9763 -2.2824 -1.7510
 -6.3570 -6.2063 -6.1027 -6.0339 -5.9818 -5.9292 -5.8622 -5.7704 -5.6449 -5.4777
 -5.2605 -4.9887 -4.6707 -4.3401 -4.0213 -3.2833 -2.6047 -2.0087 -1.5435 -1.2073
 -0.9676
 -6.1584 -5.9143 -5.7352 -5.6061 -5.4960 -5.4018 -5.3103 -5.2052 -5.0755 -4.9152
 -4.7177 -4.4773 -4.1908 -3.8792 -3.5768 -2.8981 -2.3033 -1.7859 -1.3743 -1.0764
 -0.8606 -0.7117 -0.5906
 -6.1222 -5.7981 -5.5409 -5.3412 -5.1801 -5.0395 -4.9042 -4.7631 -4.6119 -4.4474
 -4.2616 -4.0497 -3.8029 -3.5203 -3.2354 -2.6046 -2.0721 -1.6140 -1.2434 -0.9729
 -0.7834 -0.6488 -0.5498 -0.4739 -0.4120
 -6.2215 -5.8512 -5.5285 -5.2629 -5.0421 -4.8505 -4.6749 -4.5045 -4.3301 -4.1436
 -3.9405 -3.7315 -3.5109 -3.2646 -2.9984 -2.4008 -1.9091 -1.4911 -1.1476 -0.8933
 -0.7169 -0.5942 -0.5066 -0.4416 -0.3910 -0.3493
 -6.4091 -5.9879 -5.6165 -5.2882 -4.9983 -4.7431 -4.5172 -4.3148 -4.1305 -3.9587
 -3.7740 -3.5584 -3.3318 -3.1002 -2.8546 -2.2768 -1.8078 -1.4138 -1.0852 -0.8355
 -0.6635 -0.5467 -0.4656 -0.4077 -0.3651 -0.3322 -0.3047 -0.2790 -0.2529 -0.2270
 -6.6998 -6.2191 -5.7937 -5.4159 -5.0790 -4.7780 -4.5089 -4.2668 -4.0462 -3.8408
 -3.6461 -3.4549 -3.2515 -3.0316 -2.7938 -2.2193 -1.7574 -1.3756 -1.0538 -0.8002
 -0.6225 -0.5051 -0.4264 -0.3723 -0.3345 -0.3077 -0.2878 -0.2709 -0.2554 -0.2404
 -0.2251
 -7.0839 -6.5486 -6.0653 -5.6312 -5.2422 -4.8939 -4.5816 -4.3007 -4.0461 -3.8127
 -3.5939 -3.3861 -3.1858 -2.9892 -2.7812 -2.2195 -1.7475 -1.3682 -1.0486 -0.7877
 -0.5968 -0.4703 -0.3887 -0.3352 -0.2999 -0.2768 -0.2619 -0.2517 -0.2437 -0.2366
 -0.2315
 -7.5373 -6.9427 -6.4109 -5.9242 -5.4814 -5.0811 -4.7216 -4.3992 -4.1087 -3.8450
 -3.6021 -3.3752 -3.1604 -2.9565 -2.7600 -2.2444 -1.7675 -1.3797 -1.0591 -0.7920
 -0.5862 -0.4443 -0.3532 -0.2962 -0.2609 -0.2398 -0.2283 -0.2229 -0.2207 -0.2199
 -0.2202
 -8.0232 -7.3955 -6.8191 -6.2876 -5.7966 -5.3459 -4.9362 -4.5675 -4.2368 -3.9394
 -3.6690 -3.4202 -3.1883 -2.9703 -2.7646 -2.2716 -1.8115 -1.4132 -1.0867 -0.8144
 -0.5960 -0.4358 -0.3284 -0.2610 -0.2208 -0.1982 -0.1875 -0.1846 -0.1865 -0.1909
 -0.1961
 -8.5080 -7.8651 -7.2558 -6.6885 -6.1588 -5.6660 -5.2118 -4.7970 -4.4229 -4.0870
 -3.7847 -3.5103 -3.2580 -3.0235 -2.8035 -2.2997 -1.8543 -1.4571 -1.1216 -0.8443
 -0.6173 -0.4424 -0.3172 -0.2344 -0.1836 -0.1553 -0.1422 -0.1391 -0.1427 -0.1505
 -0.1605
 -8.9852 -8.3226 -7.6961 -7.1034 -6.5446 -6.0200 -5.5302 -5.0773 -4.6624 -4.2865
 -3.9479 -3.6429 -3.3661 -3.1119 -2.8767 -2.3287 -1.8959 -1.5114 -1.1638
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = UX   
 -7.0079 -6.9979 -6.9979 -7.0016 -7.0021 -6.9876 -6.9488 -6.8795 -6.7687 -6.6042
 -6.3795 -6.1035 -5.7937 -5.4707 -5.1476 -4.3623
 -6.3364 -6.3436 -6.3547 -6.3626 -6.3614 -6.3431 -6.3004 -6.2267 -6.1136 -5.9513
 -5.7319 -5.4569 -5.1435 -4.8207 -4.5058 -3.7698 -3.0768 -2.4298 -1.8897
 -5.8200 -5.8019 -5.7968 -5.7937 -5.7835 -5.7580 -5.7100 -5.6329 -5.5203 -5.3649
 -5.1591 -4.8997 -4.5982 -4.2841 -3.9800 -3.2900 -2.6752 -2.1254 -1.6629 -1.3055
 -1.0472
 -5.4587 -5.3728 -5.3242 -5.2949 -5.2684 -5.2323 -5.1776 -5.0981 -4.9888 -4.8450
 -4.6611 -4.4319 -4.1578 -3.8609 -3.5702 -2.9229 -2.3696 -1.8887 -1.4852 -1.1687
 -0.9365 -0.7669 -0.6395
 -5.3877 -5.1978 -5.0425 -4.9432 -4.8700 -4.8098 -4.7433 -4.6593 -4.5524 -4.4192
 -4.2558 -4.0579 -3.8200 -3.5486 -3.2723 -2.6574 -2.1466 -1.7123 -1.3493 -1.0617
 -0.8504 -0.6994 -0.5889 -0.5041 -0.4348
 -5.5272 -5.2414 -5.0104 -4.8255 -4.6789 -4.5639 -4.4688 -4.3663 -4.2478 -4.1115
 -3.9558 -3.7782 -3.5732 -3.3335 -3.0736 -2.4792 -1.9938 -1.5881 -1.2501 -0.9807
 -0.7815 -0.6413 -0.5420 -0.4689 -0.4115 -0.3638
 -5.7598 -5.4172 -5.1189 -4.8634 -4.6495 -4.4717 -4.3266 -4.2074 -4.0913 -3.9554
 -3.7878 -3.6033 -3.4076 -3.1948 -2.9559 -2.3734 -1.8986 -1.5080 -1.1831 -0.9225
 -0.7280 -0.5922 -0.4986 -0.4325 -0.3837 -0.3453 -0.3133 -0.2839 -0.2544 -0.2243
 -6.0798 -5.6730 -5.3187 -5.0092 -4.7401 -4.5087 -4.3106 -4.1386 -3.9850 -3.8440
 -3.7032 -3.5372 -3.3384 -3.1239 -2.8995 -2.3265 -1.8506 -1.4648 -1.1448 -0.8855
 -0.6886 -0.5510 -0.4585 -0.3956 -0.3516 -0.3196 -0.2953 -0.2751 -0.2566 -0.2381
 -0.2189
 -6.5341 -6.0390 -5.6114 -5.2400 -4.9156 -4.6315 -4.3826 -4.1643 -3.9703 -3.7929
 -3.6254 -3.4632 -3.2977 -3.1109 -2.8973 -2.3279 -1.8414 -1.4521 -1.1316 -0.8688
 -0.6775 -0.5185 -0.4216 -0.3582 -0.3161 -0.2879 -0.2688 -0.2548 -0.2440 -0.2349
 -0.2266
 -7.1445 -6.5415 -6.0209 -5.5705 -5.1777 -4.8330 -4.5293 -4.2614 -4.0233 -3.8092
 -3.6119 -3.4254 -3.2457 -3.0707 -2.8897 -2.3621 -1.8613 -1.4612 -1.1362 -0.8680
 -0.6538 -0.4952 -0.3882 -0.3199 -0.2770 -0.2504 -0.2347 -0.2259 -0.2211 -0.2184
 -0.2166
 -7.8623 -7.1743 -6.5616 -6.0258 -5.5518 -5.1336 -4.7646 -4.4394 -4.1511 -3.8941
 -3.6621 -3.4486 -3.2480 -3.0570 -2.8735 -2.4022 -1.9172 -1.4987 -1.1638 -0.8881
 -0.6633 -0.4894 -0.3665 -0.2868 -0.2378 -0.2092 -0.1941 -0.1878 -0.1871 -0.1897
 -0.1934
 -8.6224 -7.8769 -7.1971 -6.5798 -6.0278 -5.5324 -5.0912 -4.6993 -4.3525 -4.0455
 -3.7718 -3.5250 -3.2988 -3.0882 -2.8895 -2.4229 -1.9749 -1.5564 -1.2063 -0.9212
 -0.6864 -0.4986 -0.3584 -0.2625 -0.2021 -0.1670 -0.1492 -0.1427 -0.1438 -0.1499
 -0.1584
 -9.3704 -8.5882 -7.8619 -7.1889 -6.5727 -6.0106 -5.5010 -5.0415 -4.6311 -4.2671
 -3.9445 -3.6575 -3.3995 -3.1639 -2.9377 -2.4242 -2.0344 -1.6343 -1.2637
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = UX   
 -6.8410 -6.8658 -6.8852 -6.8933 -6.8889 -6.8603 -6.7995 -6.7051 -6.5447 -6.4057
 -6.2107 -5.9886 -5.7404 -5.4664 -5.1777 -4.4491
 -6.2052 -6.2348 -6.2571 -6.2680 -6.2645 -6.2401 -6.1885 -6.1046 -5.9843 -5.8259
 -5.6307 -5.3996 -5.1380 -4.8564 -4.5680 -3.8706 -3.2294 -2.6219 -2.0798
 -5.6572 -5.6806 -5.6994 -5.7091 -5.7051 -5.6832 -5.6381 -5.5635 -5.4552 -5.3095
 -5.1239 -4.8985 -4.6391 -4.3603 -4.0776 -3.4119 -2.8182 -2.2915 -1.8358 -1.4613
 -1.1698
 -5.1970 -5.2032 -5.2121 -5.2166 -5.2107 -5.1896 -5.1483 -5.0818 -4.9858 -4.8565
 -4.6903 -4.4853 -4.2437 -3.9781 -3.7065 -3.0730 -2.5236 -2.0480 -1.6442 -1.3135
 -1.0547 -0.8609 -0.7139
 -4.8926 -4.8469 -4.8264 -4.8156 -4.8026 -4.7795 -4.7405 -4.6804 -4.5955 -4.4824
 -4.3376 -4.1582 -3.9425 -3.6970 -3.4388 -2.8310 -2.3124 -1.8708 -1.4996 -1.1977
 -0.9612 -0.7851 -0.6555 -0.5562 -0.4754
 -4.9143 -4.7393 -4.6225 -4.5486 -4.5032 -4.4674 -4.4251 -4.3674 -4.2901 -4.1898
 -4.0634 -3.9079 -3.7195 -3.4986 -3.2562 -2.6667 -2.1666 -1.7462 -1.3944 -1.1096
 -0.8869 -0.7215 -0.6027 -0.5155 -0.4476 -0.3912
 -5.1682 -4.9004 -4.6790 -4.5058 -4.3783 -4.2892 -4.2231 -4.1594 -4.0795 -3.9813
 -3.8635 -3.7239 -3.5587 -3.3635 -3.1402 -2.5654 -2.0730 -1.6639 -1.3227 -1.0463
 -0.8303 -0.6693 -0.5554 -0.4749 -0.4157 -0.3692 -0.3303 -0.2950 -0.2604 -0.2249
 -5.4824 -5.1552 -4.8693 -4.6248 -4.4229 -4.2603 -4.1324 -4.0358 -3.9582 -3.8704
 -3.7547 -3.6139 -3.4542 -3.2748 -3.0736 -2.5152 -2.0218 -1.6163 -1.2797 -1.0051
 -0.7899 -0.6282 -0.5138 -0.4354 -0.3808 -0.3410 -0.3100 -0.2844 -0.2614 -0.2385
 -0.2133
 -5.8764 -5.4772 -5.1300 -4.8274 -4.5658 -4.3444 -4.1601 -4.0081 -3.8825 -3.7748
 -3.6721 -3.5576 -3.4133 -3.2386 -3.0447 -2.5075 -2.0077 -1.5983 -1.2614 -0.9844
 -0.7648 -0.5979 -0.4784 -0.3975 -0.3438 -0.3074 -0.2821 -0.2632 -0.2477 -0.2349
 -0.2209
 -6.4300 -5.9121 -5.4799 -5.1081 -4.7863 -4.5081 -4.2692 -4.0661 -3.8933 -3.7438
 -3.6083 -3.4787 -3.3482 -3.2065 -3.0391 -2.5293 -2.0219 -1.6029 -1.2612 -0.9796
